,iSOC,fSOC,A,V,T,CT
0,1,2,8.32,44.48,34,2.5
1,2,3,8.32,44.48,34,2.5
2,3,4,7.97,44.72,31.91,3.34375
3,4,5,7.97,45.75,33.69,2.81578947368421
4,5,6,8.07,46.36,32.68,3.16346153846154
5,6,7,8.08,46.74,32.52,3.20454545454545
6,7,8,8.05,47.17,32.15,3.18589743589744
7,8,9,8.03,47.38,32.26,3.34375
8,9,10,8.02,47.76,32.02,3.16826923076923
9,10,11,8.01,47.91,32.28,3.13135593220339
10,11,12,8,48.1,32.25,3.30797101449275
11,12,13,8.01,48.32,32.22,3.1038961038961
12,13,14,7.99,48.49,32.43,3.29320987654321
13,14,15,7.98,48.6,32.52,3.21111111111111
14,15,16,8.03,48.7,32.4,3.21933962264151
15,16,17,8.05,48.82,32.09,3.06147540983607
16,17,18,8.05,48.94,32.11,3.18371212121212
17,18,19,7.96,49.05,31.8,3.36363636363636
18,19,20,7.93,49.16,31.75,3.4203821656051
19,20,21,7.94,49.26,31.67,3.27245508982036
20,21,22,7.94,49.35,31.66,3.3439226519337
21,22,23,7.93,49.44,31.56,3.27168367346939
22,23,24,7.92,49.54,31.43,3.26201923076923
23,24,25,7.92,49.63,31.38,3.20568181818182
24,25,26,7.98,49.72,31.43,3.19337606837607
25,26,27,7.94,49.87,31.44,3.21414342629482
26,27,28,7.92,50.03,31.38,3.26833976833977
27,28,29,7.92,50.17,31.38,3.21629213483146
28,29,30,7.93,50.3,31.4,3.24812734082397
29,30,31,7.95,50.44,31.41,3.19852941176471
30,31,32,7.96,50.56,31.2,3.31989247311828
31,32,33,7.99,50.66,31.21,3.21003401360544
32,33,34,8.02,50.75,31.17,3.13099041533546
33,34,35,8.03,50.85,31.03,3.13153846153846
34,35,36,8.04,50.95,30.82,3.18208955223881
35,36,37,8.04,51.04,30.9,3.125
36,37,38,8.06,51.12,30.84,3.10084033613445
37,38,39,8.06,51.22,30.76,3.13395225464191
38,39,40,8.06,51.31,30.66,3.06535532994924
39,40,41,8.06,51.41,30.63,3.12591240875912
40,41,42,8.06,51.49,30.65,3.10514018691589
41,42,43,8.07,51.57,30.73,3.08656036446469
42,43,44,8.07,51.64,30.87,3.19901315789474
43,44,45,8.08,51.73,30.88,3.09893617021277
44,45,46,8.07,51.82,30.87,3.1649377593361
45,46,47,8.08,51.92,30.79,3.12075848303393
46,47,48,8.09,52.03,30.92,3.10328185328185
47,48,49,8.08,52.14,31.04,3.13295880149813
48,49,50,8.08,52.25,31.12,3.08410351201479
49,50,51,8.08,52.36,31.15,3.12316176470588
50,51,52,8.08,52.47,31.29,3.07052441229656
51,52,53,8.08,52.59,31.37,3.12234042553191
52,53,54,8.09,52.72,31.4,3.06508620689655
53,54,55,8.08,52.84,31.41,3.1419701986755
54,55,56,8.08,52.96,31.46,3.09142394822006
55,56,57,8.06,53.08,31.49,3.16918789808917
56,57,58,8.05,53.22,31.6,3.14213395638629
57,58,59,8.03,53.34,31.62,3.14779635258359
58,59,60,8.02,53.44,31.68,3.14125560538117
59,60,61,8.03,53.53,31.76,3.19436416184971
60,61,62,8.05,53.63,31.78,3.18544935805991
61,62,63,8.07,53.74,31.8,3.22566995768688
62,63,64,8.07,53.88,31.84,3.27032520325203
63,64,65,8.08,54.01,31.96,3.21904761904762
64,65,66,8.14,54.11,32,3.09499314128944
65,66,67,8.14,54.23,32.07,3.05698778833107
66,67,68,8.14,54.37,32.12,3.05917553191489
67,68,69,8.13,54.53,32.14,3.03515111695138
68,69,70,8.12,54.66,32.14,3.06845238095238
69,70,71,8.13,54.76,32.14,3.05629139072848
70,71,72,8.13,54.86,32.12,3.09522251308901
71,72,73,8.14,54.94,32.06,3.09439432989691
72,73,74,8.14,55.05,32.07,3.05880462724936
73,74,75,8.12,55.17,32.08,3.04673495518566
74,75,76,8.12,55.29,32.07,3.10165184243964
75,76,77,8.13,55.4,32.06,3.09068010075567
76,77,78,8.13,55.5,32.02,3.04554020100502
77,78,79,8.12,55.6,32.01,3.05569306930693
78,79,80,8.08,55.71,31.99,3.10740514075887
79,80,81,8.03,55.85,31.99,3.11216381418093
80,81,82,7.91,55.99,31.95,3.16737288135593
81,82,83,7.71,56.11,31.91,3.28033980582524
82,83,84,7.4,56.23,31.86,3.38178528347406
83,84,85,6.96,56.33,31.87,3.69182577565632
84,85,86,6.42,56.43,31.84,3.97087378640777
85,86,87,5.84,56.55,31.83,4.41746987951807
86,87,88,5.21,56.65,31.85,4.92964975845411
87,88,89,4.61,56.74,31.82,5.73645320197044
88,89,90,4.03,56.82,31.73,6.47274436090226
89,90,91,3.54,56.88,31.65,7.44111969111969
90,91,92,3.15,56.92,31.5,8.5498678996037
91,92,93,2.81,56.98,31.42,9.58181179775281
92,93,94,2.55,57.06,31.35,10.7073353293413
93,94,95,2.36,57.12,31.16,11.5876623376623
94,95,96,2.17,57.16,31.06,12.7203608247423
95,96,97,1.96,57.18,31.04,14.2369402985075
96,97,98,1.75,57.2,30.76,15.9442060085837
97,98,99,1.46,57.23,30.65,18.0037537537538
98,99,100,1.18,57.26,30.99,5.12946428571429
